"MAE","sample_idx"
0.039113499224185944,65
0.03640717267990112,63
0.034084007143974304,16
0.03373756259679794,44
0.0335770808160305,27
0.026959285140037537,88
0.026959285140037537,35
0.026959285140037537,55
0.026959285140037537,68
0.026959285140037537,7
0.026959285140037537,71
0.026959285140037537,92
0.02342083491384983,22
0.021839680150151253,85
0.021474376320838928,43
0.020149797201156616,8
0.01812468096613884,11
0.01689092256128788,73
0.014715215191245079,23
0.012070154771208763,57
0.00954983476549387,10
0.007116568274796009,75
0.00668305903673172,93
0.005873246118426323,24
0.0043692076578736305,28
0.0035972364712506533,6
0.0033996603451669216,62
0.002465715166181326,36
0.00238614110276103,19
0.00210328446701169,69
0.0017067290609702468,32
0.0016952395671978593,26
0.001433100551366806,97
0.0014058524975553155,18
0.0011293874122202396,20
0.0010464625665917993,74
0.0007956535555422306,78
0.0007627462618984282,45
0.0006833236548118293,4
0.0006755565409548581,46
0.0006210648571141064,15
0.0005746829556301236,89
0.0005705397925339639,42
0.0005697174929082394,54
0.0005268316599540412,79
0.00039060943527147174,48
0.00039060917333699763,90
0.0003906074562110007,25
0.00039060652488842607,39
0.0003906061756424606,33
0.0003906060301233083,3
0.0003906058263964951,80
0.00039060533163137734,96
0.00039060416747815907,49
0.0003906038182321936,51
0.0003906023339368403,95
0.00039060215931385756,99
0.00039060215931385756,70
0.00039060163544490933,17
0.0003906014026142657,61
0.000390601169783622,47
0.000390601169783622,60
0.000390601169783622,1
0.000390601169783622,91
0.000390601169783622,87
0.000390601169783622,86
0.000390601169783622,83
0.000390601169783622,14
0.000390601169783622,76
0.000390601169783622,41
0.000390601169783622,67
0.000390601169783622,66
0.000390601169783622,64
0.000390601169783622,21
0.000390601169783622,59
0.000390601169783622,53
0.000390601169783622,40
0.000390601169783622,38
0.000390601169783622,50
0.000390601169783622,58
0.000390601169783622,0
0.000390601169783622,29
0.000390601169783622,56
0.000390601169783622,30
0.000390600849641487,12
0.00039060047129169106,37
0.0003906001220457256,52
0.0003905996563844383,5
0.00039059732807800174,34
0.00039059686241671443,2
0.00039059630944393575,84
0.0003905956691596657,81
0.00039059508708305657,72
0.0003905946796294302,77
0.00039059194386936724,98
0.0003823817824013531,13
0.00038208073237910867,9
0.0001996717182919383,31
0.00012548176164273173,82
2.7111414965474978e-05,94
